id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12899,"Alberta Arts 2 bedroom suite, charming 1906 house",49682,Ali And David,,Concordia,45.56401,-122.63472,Entire home/apt,65,2,530,9/12/2019,4.51,1,323
16688,"Beautiful condo in downtown Pearl, NW Portland",64840,Ashish,,Pearl,45.52542,-122.68557,Entire home/apt,275,2,72,9/8/2019,2.48,1,345
25200,Flamenco Dream :: hip mississippi ave.,104038,Garden,,Humboldt,45.55675,-122.67784,Private room,65,31,34,10/18/2018,0.3,4,169
26203,Bluebird @ hip mississippi ave,104038,Garden,,Humboldt,45.55696,-122.67566,Private room,65,3,30,8/19/2019,0.27,4,164
29931,Lovely SW Victorian w/Bonus Room and Hot Tub,79786,Ken,,Hayhurst,45.48278,-122.72089,Entire home/apt,200,2,53,8/31/2019,0.47,3,315
37676,Mt. Hood View in the Pearl District,162158,Paul,,Pearl,45.52555,-122.68193,Entire home/apt,125,6,120,8/31/2019,1.08,1,320
39938,Friendly Guesthouse / 10 Min to Airport & Downtown,171371,Sarah,,Woodlawn,45.57428,-122.64594,Private room,29,1,272,9/8/2019,4.95,3,48
41601,Grandpa's Bunkhouse-Backyard Studio,179045,Jean,,Roseway,45.54935,-122.58425,Entire home/apt,130,3,216,9/15/2019,1.95,2,365
42347,Portland is Accessible!,184886,Sharon,,Laurelhurst,45.52211,-122.63147,Private room,55,2,195,9/9/2019,1.77,1,137
45890,Auntie's Hideaway--Daylight Downstairs Studio,179045,Jean,,Roseway,45.54889,-122.58554,Entire home/apt,79,3,182,9/1/2019,1.82,2,354
53939,Central East Side: comfy suite,206917,Sue,,Kerns,45.52817,-122.63582,Private room,61,3,82,8/18/2019,1.23,2,363
53940,"Central E. Side: light, airy haven",206917,Sue,,Kerns,45.52532,-122.63272,Private room,78,3,48,7/22/2019,0.91,2,363
59425,Beautiful Alberta Arts Basement Apt,285416,Pauly & Myra,,Vernon,45.56181,-122.65097,Entire home/apt,95,2,11,11/16/2012,0.11,1,228
61677,Large Peaceful Double Room w Charm: upstairs Reed.,298438,Deborah,,Reed,45.48845,-122.62633,Private room,40,6,114,8/20/2019,1.09,2,118
61893,"NW, Pearl, Downtown, and Parks—Walk to Everything",300391,Matt,,Goose Hollow,45.52208,-122.69979,Entire home/apt,180,30,7,8/17/2019,0.2,1,256
64557,Sunny SW Artist Studio w/ Hot Tub,79786,Ken,,Hayhurst,45.48294,-122.71922,Entire home/apt,90,31,47,7/29/2019,0.45,3,135
65466,Mt. Tabor Bungalow,170035,Scott,,Mt. Tabor,45.50661,-122.60892,Private room,60,2,150,9/14/2019,2.02,1,355
66944,"Hip, Lively Neighborhood, Spacious Apt.",329173,Kevin,,Boise,45.55078,-122.67492,Entire home/apt,175,2,246,9/10/2019,2.37,1,315
67036,Historic Home Located in Central City,329777,Will,,Sullivan's Gulch,45.53195,-122.64483,Entire home/apt,425,4,29,9/2/2019,0.28,1,108
77522,"Large Private Suite Near Reed, Pets Ok, Hot Tub",345461,Diane,,Eastmoreland,45.46992,-122.63218,Private room,55,2,75,8/14/2019,0.81,1,282
78509,Powell Butte-City Views- Maple Room,421792,Jesse,,Powellhurst-Gilbert,45.48608,-122.52273,Private room,60,1,52,8/23/2019,0.51,5,290
85860,Corner Caravan,104038,Garden,,Humboldt,45.55593,-122.67589,Entire home/apt,65,7,5,7/28/2019,0.06,4,365
93613,Sunny Queen Room FUN Alberta Arts,501715,Teresa,,Sabin,45.5548,-122.6516,Private room,43,5,62,8/14/2017,0.64,4,259
94500,Room in Vintage Alberta Bungalow,499386,James,,Beaumont-Wilshire,45.55748,-122.63038,Private room,59,2,166,9/2/2019,1.64,1,175
95313,Warm + Cozy Apt nr Dining/Alberta/Bus,507756,Andrée,,Woodlawn,45.5737,-122.65064,Entire home/apt,69,1,456,9/15/2019,4.49,4,79
95557,Egregiously SE Portland #2 Clinton,51949,Amy,,Hosford-Abernethy,45.50456,-122.64693,Entire home/apt,165,2,200,9/2/2019,1.97,1,228
99355,Beautiful Apt near City Center!,523311,Mark,,Irvington,45.53895,-122.65156,Entire home/apt,165,1,148,9/3/2019,1.6,2,277
115223,Sellwood Guest Studio & Hot Tub-Private Entry,238142,Rose,,Sellwood-Moreland Improvement League,45.46783,-122.65557,Entire home/apt,58,2,89,5/21/2019,0.89,1,14
115681,Piedmont Cottage on Peninsula Park,585047,Heather & Topher,,Piedmont,45.56741,-122.67257,Entire home/apt,83,30,261,8/7/2019,2.6,3,298
117969,Beautiful Newly-Remodeled Apartment,589016,Steve,,Richmond,45.50988,-122.6313,Entire home/apt,85,2,197,9/8/2019,3.75,1,115
131088,Second floor garden apartment ,2513602,Jeannette,,Cully,45.56028,-122.6171,Entire home/apt,81,2,65,9/1/2019,0.88,2,278
140614,Bright bsmt apartment near Alberta,491587,Jeanne,,Concordia,45.56577,-122.64088,Private room,90,4,61,9/4/2019,0.61,2,364
143483,Garden Hideaway near City Center!,523311,Mark,,Irvington,45.54029,-122.65006,Entire home/apt,99,1,97,7/31/2019,1.02,2,319
145199,"Upstairs, studio with bath, fridge",683139,Amy,,Montavilla,45.53008,-122.59075,Private room,65,3,73,9/4/2019,0.73,1,333
173868,Pearl District / NW Portland Condo,830383,Colette,,Northwest District,45.52953,-122.68931,Entire home/apt,150,183,23,11/20/2017,0.23,1,217
182450,"Luminous, Cosy Home near lively SE Division Street",52505,Judy,,Richmond,45.50522,-122.63277,Entire home/apt,76,3,21,8/20/2019,0.25,2,29
182465,Great Breakfast next to lively Division St,52505,Judy,,Richmond,45.50754,-122.63268,Private room,59,2,302,8/1/2019,3.06,2,133
195632,Foodie's Paradise & Everyone's Playground!,659137,Anjali,,Boise,45.5528,-122.67729,Entire home/apt,128,3,74,9/2/2019,0.75,1,76
197191,Home Near Alberta St & Williams St,960864,Naomi,,King,45.55213,-122.65933,Entire home/apt,500,2,78,10/16/2017,0.89,2,179
199683,"Authentic Portland Flavor, Central!",975606,Leo,,Rose City Park,45.54419,-122.60362,Private room,49,30,43,9/7/2019,0.49,2,365
204002,NW Nob Hill Serene City Bedroom,1001311,Alleyn,,Northwest District,45.53445,-122.70696,Private room,75,1,483,9/8/2019,4.93,4,324
205616,Entire Home + Cottage • A Painted Lady Inn • 6 Bed,1011157,Jody,,Irvington,45.53745,-122.64932,Entire home/apt,499,1,79,8/25/2019,1.46,7,345
213228,"Sweet 2 Room Suite, Private, Quiet",1099616,Abraham,,Arbor Lodge,45.56781,-122.67923,Private room,39,2,103,8/30/2019,1.06,2,29
213600,Clinton neighborhood cottage,37875,Rachelle,,Hosford-Abernethy,45.50567,-122.64548,Entire home/apt,124,2,190,8/29/2019,3.69,1,13
218708,"Amazing Location in NE, Opal 28 - King Suite #3",6313800,Margot,,Kerns,45.52184,-122.63538,Entire home/apt,155,2,425,9/13/2019,4.37,7,150
222298,"Blues,brews,and bicycle guesthouse",1153902,Taizz,,Overlook,45.55821,-122.69223,Private room,65,2,94,9/1/2019,0.97,3,165
226043,Beautiful Craftsman Hawthorne Haven,1178421,Stephanie,,Richmond,45.51107,-122.61406,Entire home/apt,155,2,9,1/3/2013,0.09,2,67
229291,NW Nob Hill Neighborhood Bedroom,1001311,Alleyn,,Northwest District,45.53351,-122.70633,Private room,65,1,702,8/30/2019,7.23,4,0
231732,"large, sunny room in farmhouse",1153902,Taizz,,Overlook,45.55816,-122.69143,Private room,65,2,42,9/1/2019,0.48,3,74
231734,"Private, sunny room in farmhouse",1153902,Taizz,,Overlook,45.55771,-122.68994,Private room,65,2,27,5/20/2019,0.29,3,276
236108,Large COMFY Room in Alberta Arts,501715,Teresa,,Sabin,45.55588,-122.64765,Private room,28,2,57,8/27/2019,0.63,4,354
243905,"Sunny, Modern Home in SE Portland",943675,Marisa,,Brooklyn Action Corps,45.49386,-122.64937,Entire home/apt,100,3,23,9/3/2019,0.38,1,118
249526,Rosebud Room,1307164,Hilary,,Hosford-Abernethy,45.50821,-122.64473,Private room,48,2,388,9/16/2019,4.13,2,79
259912,"Private ENTRY-BATH-TWO BEDS/deck, river views-WOW!",1362006,Gracie And David,,Cathedral Park,45.59228,-122.76218,Private room,45,2,93,8/6/2019,1.42,1,177
267409,Pretty SW  Garden Apt. w Hot Tub,79786,Ken,,Hayhurst,45.48256,-122.71935,Entire home/apt,100,31,8,2/1/2016,0.09,3,273
