id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6702541,Cute home in the heart of Portland,16511459,Jessica,,Sullivan's Gulch,45.533891893539796,-122.63996702937379,Entire home/apt,160,1,15,2015-09-28,3.36,1,268
4209765,Oregon  Convention Center,1770933,Anastasia,,Sullivan's Gulch,45.53333303138804,-122.64248066028327,Private room,49,1,65,2015-10-29,5.06,2,356
4917894,Private suite near it all- Room #1,3029738,Phil,,Sullivan's Gulch,45.53208834358765,-122.64674961230965,Private room,75,1,51,2015-10-12,5.31,5,351
5134256,Private suites near it all- Room #4,3029738,Phil,,Sullivan's Gulch,45.53327352847426,-122.64687008708758,Private room,60,1,39,2015-10-18,4.52,5,354
5794291,Private suites near it all- Room #6,3029738,Phil,,Sullivan's Gulch,45.533373135355866,-122.64823571872927,Private room,65,1,23,2015-10-13,5.75,5,360
5133946,Private suites near it all- Room #3,3029738,Phil,,Sullivan's Gulch,45.533866337340015,-122.64775700369785,Private room,70,1,44,2015-10-13,5.02,5,357
3635579,Spacious Room & Private Bath,274455,Eugenia,,Sullivan's Gulch,45.53277483588532,-122.64843402190499,Private room,77,2,65,2015-10-25,4.16,1,342
6122852,"LOCATION NE ""Willamette"" Adjoining",17261537,Tiger & Peacock,,Sullivan's Gulch,45.53419124271865,-122.64797357871561,Private room,47,1,29,2015-10-18,5.18,13,348
6247647,Spacious Irvington Condo,32440440,Justine,,Sullivan's Gulch,45.534786903287795,-122.64245525864499,Entire home/apt,300,2,17,2015-10-19,2.98,1,335
6106997,"LOCATION NE! ""Mt Hood"" : King bed",17261537,Tiger & Peacock,,Sullivan's Gulch,45.5344912173247,-122.64688297158196,Private room,55,1,26,2015-10-17,4.59,13,355
2910295,Sullivan's Gulch New 1 BR apartment,14867883,Ann,,Sullivan's Gulch,45.533834911499476,-122.6475915017706,Entire home/apt,150,1,57,2015-10-24,3.22,1,353
2241274,Grant Park 3BR Bungalow ,11446106,Logan,,Sullivan's Gulch,45.53465117702714,-122.63674341595882,Entire home/apt,420,2,14,2015-10-15,0.95,1,177
4918034,Private suites near it all- Room #2,3029738,Phil,,Sullivan's Gulch,45.53327975880302,-122.64786231653146,Private room,75,1,42,2015-10-13,4.60,5,354
