RegionName,City,State,Metro,CountyName,SizeRank,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11
Lincoln Village West,Stockton,CA,Stockton-Lodi,San Joaquin County,1290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335000,339250,349000,335000,325000,317475,310000,324500,310000,279500,269000,299500,345000,344450,332000,347450,337000,320000,295000,299950
Mark Twain,Springfield,MO,Springfield,Greene County,1291,94000,94000,94200,99900,96250,99900,99900,97500,104900,99500,99900,99000,99900,97950,95950,99900,104900,102450,106500,112000,109900,107900,105900,114900,119000,115450,99900,106250,105000,107500,99900,105000,119900,124900,122900,116000,114900,114900,115500,114900,119900,125000,137500,129900,133900,128900,129900,127900,132700,119900,124000,129900,132900,130000,126950,129500,124500,120000,117000
Kleinpeter,Baton Rouge,LA,Baton Rouge,East Baton Rouge Parish,1292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484500,510000,454900,412200,463500,463950,468500,447250,445000,445000,420450,420450,389840,385000,394680,394680,442450,442000,440500,455950,469000,486950,475000,466950,473750
Berkeley,Denver,CO,Denver-Aurora-Lakewood,Denver County,1293,,,,,,,,,,,,,,,,,,,,,,,,,,,,516500,550000,517500,585000,619000,619000,598950,598000,595000,592500,6.00E+05,580000,627000,650000,6.00E+05,570000,525000,559900,559900,639500,639000,675000,654850,667400,647000,649900,635000,645000,669000,649950,585000,585000
New Town,Key West,FL,Key West,Monroe County,1294,,,,,,,,,,,,,,,,,,,,,,,,499000,539000,524900,519900,545000,552000,532000,539000,529000,514900,539000,561500,565000,558000,565000,570000,582000,542000,534000,575000,534500,570000,580000,599000,599000,609450,599000,599000,609000,599000,599000,589500,589000,599000,639500,599000
Rosemoor,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122000,117430,125200,129900,117163.5,130000,134900,136500,138200,135750,132400,130000,133900,133900,134900,139950
Sugar Hill,Moreno Valley,CA,Riverside-San Bernardino-Ontario,Riverside County,1296,287000,289000,290000,299000,310000,299900,299950,307000,299900,299947.5,295900,297000,304997.5,310000,315000,317700,325950,325000,328400,329000,329900,337900,337495,334499,329900,338950,336999.5,339900,352450,360200,349900,354900,357950,348200,349900,367450,372250,355000,360000,375000,385000,394900,401250,379950,389999,372500,369999.5,378294,385000,389900,389450,380000,399949.5,397450,409000,393650,383000,381500,389450
Belle Isle,Oklahoma City,OK,Oklahoma City,Oklahoma County,1297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239000,234500,249000,230950,254000,254000,275000,249625,244950,250000,237500,269000,289000,260000,274000,270000,270000,279450,293500,257400,227450,249777,260000,265500,249500,249900,249900,269900,283000
Southeast Warren,Indianapolis,IN,Indianapolis-Carmel-Anderson,Marion County,1298,143000,139900,145000,139900,145450,149900,149990,150000,150990,154900,150000,150000,149900,149495,150950,154900,149900,150000,149900,159900,159900,159900,157450,157490,158945,159990,161338.5,163990,165995,162500,165995,169600,169600,169445,169450,168950,169900,174900,175000,174900,175000,175000,184450,188990,183445,183445,184900,185000,175000,174900,177450,179500,189450,195000,2.00E+05,2.00E+05,197000,191400,185990
Newport Hills,Bellevue,WA,Seattle-Tacoma-Bellevue,King County,1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772500,824950,850000,824950,832225,812475,837425,799800,774900,798000,798000,8.00E+05,799998.5,799875,770000,775000,759950,772000,750000,750000
Crystal Springs,Jacksonville,FL,Jacksonville,Duval County,1300,166450,160950,143950,150000,154950,154900,150000,172500,175000,175000,170950,177450,169900,179200,179900,178600,189900,189900,190000,185700,184900,184900,185749.5,197450,197900,198990,175000,206250,220000,215250,2.00E+05,2.00E+05,198245,194950,189000,173950,189900,190900,198495,203445,210000,212495,210450,208445,217900,217900,206900,206900,206900,210000,213900,216900,215000,215000,221900,217900,217900,202450,216000
Cumberland Hill,Cumberland,RI,Providence-Warwick,Providence County,1301,234950,254900,232450,249900,249900,237000,235000,234500,252400,249000,249450,239900,239414,235000,262400,249950,249900,269900,269900,274000,269900,259900,249900,253950,259900,229900,249900,279000,289900,269950,272400,264900,267325,255000,269825,269900,279900,254900,267325,279900,274950,292450,269900,269900,269000,275000,287450,309450,287450,289900,299999,289900,309000,314900,309900,294750,299900,289450,294900
Morrell Park,Philadelphia,PA,Philadelphia-Camden-Wilmington,Philadelphia County,1302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209900,214900,214900,225000,225000,217450,209900,209450,208495,221900,224200,231950,237000,229900,228950,224900,228950,224900,224400,219900
Hyde Park,Jacksonville,FL,Jacksonville,Duval County,1303,,,,,,,,,,,,,,,,,,,,,,,,,,110000,119950,111000,120000,120000,120000,109000,1.00E+05,103250,1.00E+05,99500,104650,117092,120000,124000,128000,124900,127000,122900,120000,119000,120000,119000,119000,122750,122500,125000,120000,117400,120000,120000,122500,124900,120000
Emerald Hills,Hollywood,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,1303,284900,264750,263250,269900,279000,299000,299000,289000,269995,289900,279900,269900,284500,275000,285000,306500,299675,304000,308000,319000,318950,307450,294900,312500,315000,325000,321499.5,329000,331000,344500,329800,312500,299000,299000,302000,310000,314950,334500,327000,329000,337400,334900,337400,334454,344000,350000,327000,325000,323500,329000,332200,327000,325000,321750,319900,317000,319900,319900,324750
