id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2437064,"Cozy room, close-in NE Portland",12455847,Jack & Amanda,,Irvington,45.53648097454145,-122.64286692965582,Private room,57,1,42,2015-05-05,2.9,1,354
240583,*Honeydew Condo,828435,Furnished In Portland,,Mt. Tabor,45.51130600435241,-122.60956471470533,Entire home/apt,130,3,8,2015-02-20,0.2,17,342
1594171,The Canary Nest (NW 21st),8502900,Ruth,,Northwest District,45.5304656721613,-122.69666835014787,Entire home/apt,115,2,27,2015-04-11,2.5,1,102
741884,Charmer in the Heart of Nob Hill,3884282,Shamus,,Northwest District,45.52532468822559,-122.69686785658196,Entire home/apt,100,1,2,2014-03-16,0.1,1,339
3649423,Lost Arts Ranch,10850744,Chris,,Russell,45.53801161278028,-122.52531987737646,Private room,48,1,3,2014-09-28,0.3,1,348
37676,Mt. Hood View in the Pearl District,162158,Paul,,Pearl,45.52555361687026,-122.68193014239843,Entire home/apt,175,6,93,2015-01-21,1.6,1,254
326775,SE-Aphrodite's Den,1670804,Cha-Cha,,Richmond,45.51196081804233,-122.62336252132815,Private room,85,2,34,2014-08-25,0.9,9,365
611469,A Painted Lady Inn-The Den,1011157,Jody,,Irvington,45.5364510096373,-122.65044608550565,Private room,119,1,0,,,7,365
951387,Quiet Studio in NE near Bus & Bike,5161731,Deborah & Ludger,,Humboldt,45.55488201827619,-122.66492582949847,Entire home/apt,70,2,108,2015-05-07,4.1,1,97
6173391,inner northeast charmer/women only,3496645,Allie,,King,45.55500896143284,-122.65956902721919,Private room,45,2,0,,,1,338
2458957,Industrial-Chic Alberta Arts Home,12483794,Kurt & Ginger,,King,45.55634611998022,-122.65560374483601,Entire home/apt,195,2,20,2015-04-30,1.4,1,292
724056,Bed & Bike  Near Alberta/Williams,960864,Naomi,,King,45.55610585271317,-122.65684117103501,Private room,67,1,31,2014-03-16,1.0,3,66
699605,Adorable Alberta Arts Bungalow,2605790,Amanda & Sebastien,,King,45.56436166086922,-122.6572449366406,Entire home/apt,175,2,27,2015-04-27,0.9,1,267
2350593,Transit/Family-friendly Yard/Patio,1508384,Darcy,,Eliot,45.53841169676528,-122.66399849452468,Entire home/apt,295,2,9,2015-03-22,0.7,1,265
611417,A Painted Lady Inn- Master,1011157,Jody,,Irvington,45.5364432214802,-122.65005310634226,Private room,109,1,0,,,7,365
4957180,Walk to the best of Portland!,25551237,Mary & Eric,,Woodlawn,45.566410635346706,-122.65455487437279,Private room,50,1,7,2015-04-12,1.8,1,329
1651319,Cute home in great NE location,8017624,Martha,,Woodlawn,45.57488892076194,-122.66027347289759,Entire home/apt,98,3,12,2015-01-02,0.7,1,249
4121755,Modern Family Home in NE Portland,17049465,Nate,,Woodlawn,45.574081662883344,-122.65897595592608,Entire home/apt,150,2,3,2015-02-17,0.4,1,234
2817233,Alberta Arts Private Room,14411357,Natasha,,Woodlawn,45.56777246904177,-122.64864830683172,Private room,65,1,1,2014-08-27,0.1,1,362
2316004,3BR Craftsman in Woodlawn!,2155226,Amy,,Woodlawn,45.56771785897036,-122.64826937256441,Entire home/apt,200,6,1,2014-07-08,0.1,2,365
3741859,CozyRetreat w/Bikes Near Everything,3412716,Ayleen,,Woodlawn,45.5680407420845,-122.65363423277967,Private room,46,2,34,2015-05-02,3.7,1,317
6314588,Cozy room in Inner NE Portland,5772713,Anna,,Woodlawn,45.57014088516972,-122.64751763458042,Private room,58,3,0,,,2,178
2525825,Peaceful Retreat in Thriving NE,3148100,Anna & Jeremy,,Woodlawn,45.5708142962737,-122.65003248277799,Entire home/apt,75,1,140,2015-04-28,10.1,1,259
3267673,Bedroom for Two in Quiet Home,1054513,Larry,,Woodlawn,45.56965778239069,-122.65165661489272,Private room,55,2,26,2015-04-17,2.8,3,103
3415991,Charming Woodlawn Craftsman,663829,B&E,,Woodlawn,45.570696161798516,-122.6573056981409,Entire home/apt,139,2,31,2015-03-26,2.9,1,292
1713529,Large Room in a Victorian House,7401241,Stella,,Woodlawn,45.5699232833999,-122.65235851194623,Private room,65,1,0,,,4,239
4199677,NE Portland Victorian Farmhouse,21789038,Robin,,Woodlawn,45.568559881836634,-122.65266772770448,Entire home/apt,175,2,2,2014-10-28,0.3,1,0
1782632,GARDEN OASIS/ALBERTA ARTS DISTRICT,9357209,Francine,,Woodlawn,45.56990747392507,-122.64809925799024,Private room,110,2,6,2014-08-18,0.6,1,365
5242296,Woodlawn Guest House (Room #3),171371,Sarah,,Woodlawn,45.5710702217717,-122.64892734500603,Private room,35,1,9,2015-05-11,4.6,4,322
39938,Woodlawn Guest House (Room #2),171371,Sarah,,Woodlawn,45.572310062191214,-122.6473386659278,Private room,35,1,8,2015-05-05,3.9,4,356
1465725,2 private rooms in Woodlawn,5246284,Stephanie,,Woodlawn,45.570695972344055,-122.6472690401486,Private room,100,1,1,2013-12-11,0.1,1,351
203797,Artsy Alberta Cottage Private Room,997631,Kaya And Wayne,,Woodlawn,45.569654381185906,-122.64708084067509,Private room,64,2,78,2015-04-19,1.8,1,356
2315981,Guest room in Woodlawn craftsman!,2155226,Amy,,Woodlawn,45.56899549095356,-122.64781320057942,Private room,50,1,15,2015-05-02,1.0,2,362
3467813,Artsy Woodlawn bungalow,7284060,Maja,,Woodlawn,45.56989712577553,-122.65646359945725,Entire home/apt,146,2,1,2015-04-14,1,1,360
295694,Rustic Barn Studio w Sleeping Loft,507756,Andrée,,Woodlawn,45.57237129847607,-122.65012289856547,Entire home/apt,59,1,121,2015-04-26,3.8,3,325
1840565,Nice cozy room in close-in NE!,5906208,Daphne,,Woodlawn,45.56930752059069,-122.65679405487616,Private room,50,1,53,2015-04-27,3.0,1,314
5906093,Spacious room in fabulous Victorian,7401241,Stella,,Woodlawn,45.56998733322361,-122.65314415615933,Private room,55,1,0,,,4,317
5145305,One-Person Bedroom in Quiet Home,1054513,Larry,,Woodlawn,45.57080499510649,-122.65038109933633,Private room,38,2,3,2015-04-10,1.1,3,103
4403690,Awesome loft room - inner NE,7401241,Stella,,Woodlawn,45.56859221039788,-122.65259126347554,Private room,60,2,0,,,4,248
1773977,Cozy Cottage in Inner NE Portland,5772713,Anna,,Woodlawn,45.570205688533015,-122.64550899838727,Entire home/apt,67,5,9,2014-12-06,0.5,2,212
4287080,Private room in Garden Retreat home,22256066,Ann,,Woodlawn,45.56916590445097,-122.64471977515885,Private room,75,1,0,,,1,283
5851789,Victorian studio apartment,30385704,Elizabeth,,Woodlawn,45.57170783136936,-122.64425883302376,Private room,75,1,0,,,1,337
5242273,Woodlawn Guest House (Room #1),171371,Sarah,,Woodlawn,45.57097024266023,-122.64544312113033,Private room,45,1,13,2015-05-11,6.6,4,321
95313,Warm+Cozy Apt nr Dining/Events/Bus,507756,Andrée,,Woodlawn,45.5737042170358,-122.65064195378089,Entire home/apt,74,1,151,2015-05-04,3.1,3,272
6006819,Private Room Walkable NE Woodlawn,23702491,Emily,,Woodlawn,45.57379433838991,-122.6463445985442,Private room,68,2,0,,,3,182
3186591,Bright and Cozy Home in NE Portland,8637203,Justin And Sarah,,Woodlawn,45.57559016307643,-122.65868627646819,Entire home/apt,140,2,2,2014-08-28,0.2,1,199
1226994,NE Old Charm w/Modern Conveniences,6692974,Paul & Mandie,,Woodlawn,45.57349914294156,-122.66006653028072,Entire home/apt,115,2,37,2015-04-24,1.7,4,273
1644973,Christys Cottage,8729679,Christy,,Woodlawn,45.573172859620264,-122.65731967721044,Private room,49,1,11,2015-02-01,0.6,1,328
2844874,"Bright, colorful townhouse and yard",14549729,Andrew,,Woodlawn,45.573399099931805,-122.65167447240724,Private room,60,1,9,2014-09-19,0.8,1,356
3116474,Cupcake Inn,15836252,Mita,,Woodlawn,45.5775264789298,-122.65995385616102,Entire home/apt,65,2,31,2014-12-31,2.7,1,308
4925951,House on N.E. Dekun st.,25374184,Gerald,,Woodlawn,45.571559414167446,-122.65874865612429,Entire home/apt,150,3,1,2015-03-22,0.6,1,353
