id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4918034,Private suites near it all- Room #2,3029738,"Phil, Lauren And Merideth",,Sullivan's Gulch,45.53327976,-122.6478623,Private room,120,1,186,8/26/2017,5.85,6,339
3678338,Portland's best kept secret...,1795731,Matt,,Sullivan's Gulch,45.53273357,-122.6397249,Entire home/apt,59,2,120,9/9/2017,3.14,1,324
12819993,Adorable Bedroom in NE Portland,15661721,Alison,,Sullivan's Gulch,45.53210669,-122.6444723,Private room,70,1,0,,,1,0
2910295,Sullivan's Gulch New 1 BR apartment,14867883,Ann,,Sullivan's Gulch,45.53383491,-122.6475915,Entire home/apt,95,2,136,8/26/2017,3.37,1,343
4209765,Oregon  Convention Center,1770933,Anastasia,,Sullivan's Gulch,45.53333303,-122.6424807,Private room,52,2,124,8/10/2017,3.49,2,349
3635579,Spacious Room & Private Bath,274455,Eugenia,,Sullivan's Gulch,45.53277484,-122.648434,Private room,70,2,181,9/4/2017,4.73,1,339
15358320,Bohemian Escape,78494301,Pamela,,Sullivan's Gulch,45.53204823,-122.6412231,Private room,65,2,26,9/4/2017,2.45,1,159
6690925,Cozy APT in center Portland Oregon,34951548,Nicole,,Sullivan's Gulch,45.53390004,-122.6502922,Private room,35,5,1,6/15/2015,0.04,1,0
20437031,Master Bedroom Close-In Duplex,38858864,Linda,,Sullivan's Gulch,45.53389557,-122.6419466,Private room,130,1,0,,,2,74
18911000,The Green House,28163673,Gail & Wyatt,,Sullivan's Gulch,45.531867,-122.6402846,Entire home/apt,99,1,10,9/5/2017,7.5,1,147
6019539,Private Suites near it all- Room #7,3029738,"Phil, Lauren And Merideth",,Sullivan's Gulch,45.53191898,-122.6484275,Private room,140,1,134,8/23/2017,7.42,6,337
5134256,Private suites near it all- Room #4,3029738,"Phil, Lauren And Merideth",,Sullivan's Gulch,45.53327353,-122.6468701,Private room,90,1,216,8/28/2017,6.9,6,348
5133946,Private suites near it all- Room #3,3029738,"Phil, Lauren And Merideth",,Sullivan's Gulch,45.53386634,-122.647757,Private room,110,1,204,8/25/2017,6.49,6,347
19191295,NE Portland Home,134247106,Jeffrey,,Sullivan's Gulch,45.53266409,-122.6412556,Entire home/apt,55,3,17,8/20/2017,5.43,1,0
11459090,Lloyd / Convention Center Modern Charmer,470854,Lydia,,Sullivan's Gulch,45.53118342,-122.6367956,Entire home/apt,175,2,15,7/1/2017,1.08,1,0
13890963,IKEA sofa bed in upstairs apartment,10395369,Joseph,,Sullivan's Gulch,45.53365221,-122.6369508,Private room,25,1,0,,,1,285
13031007,Best Neighborhood--2 Bedrooom,636668,Sara Osheroff,,Sullivan's Gulch,45.53408749,-122.6366259,Entire home/apt,95,2,69,9/5/2017,4.46,1,332
10885290,NE BUNK-HOUSE : Queen Bunk - TOP,17261537,Ian & Sharmil,,Sullivan's Gulch,45.53396443,-122.6485267,Shared room,47,1,106,9/3/2017,5.38,6,360
10907864,NE BUNK-HOUSE : Queen Bunk - BOTTOM,17261537,Ian & Sharmil,,Sullivan's Gulch,45.534176,-122.6469208,Shared room,47,1,92,9/7/2017,4.73,6,359
16042773,Private Suites Near It All- Room #5,3029738,"Phil, Lauren And Merideth",,Sullivan's Gulch,45.53246806,-122.6477983,Private room,125,1,5,8/19/2017,0.55,6,0
