id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2910295,Sullivan's Gulch New 1 BR apartment,14867883,Ann,,Sullivan's Gulch,45.533834911499476,-122.6475915017706,Entire home/apt,95,2,124,2017-06-16,3.25,1,332
14780717,Pension Portlandia: Close in Convenience,5670387,David And Debra,,Sullivan's Gulch,45.533818148185404,-122.64176599914155,Entire home/apt,95,1,26,2017-06-29,3.80,1,297
15164536,NE BUNK-HOUSE : Single bed - TOP,17261537,Ian & Sharmil,,Sullivan's Gulch,45.53393206860909,-122.64720554334028,Shared room,42,1,45,2017-06-18,4.74,6,344
5133946,Private suites near it all- Room #3,3029738,Phil,,Sullivan's Gulch,45.533866337340015,-122.64775700369785,Private room,110,1,184,2017-06-21,6.31,5,335
10885290,NE BUNK-HOUSE : Queen Bunk - TOP,17261537,Ian & Sharmil,,Sullivan's Gulch,45.53396442759364,-122.64852666243107,Shared room,47,1,83,2017-06-21,4.76,6,353
6019539,Private Suites near it all- Room #7,3029738,Phil,,Sullivan's Gulch,45.53191898030711,-122.64842754117804,Private room,140,1,114,2017-06-16,7.22,5,320
13031007,Best Neighborhood--2 Bedrooom,636668,Sara Osheroff,,Sullivan's Gulch,45.534087490534844,-122.6366259278555,Entire home/apt,95,2,53,2017-06-30,4.02,1,307
3835937,Close to downtown Portland ,19756066,Randal,,Sullivan's Gulch,45.535099715106135,-122.63842295787813,Private room,77,1,224,2017-07-04,6.36,1,311
3635579,Spacious Room & Private Bath,274455,Eugenia,,Sullivan's Gulch,45.53277483588532,-122.64843402190499,Private room,70,2,164,2017-07-01,4.55,1,302
19293810,Cute apartment close to everything in NE Portland,3434503,Ashley,,Sullivan's Gulch,45.53381161866781,-122.6459901278733,Entire home/apt,96,7,0,,,1,247
6690925,Cozy APT in center Portland Oregon,34951548,Nicole,,Sullivan's Gulch,45.53390003542872,-122.650292210428,Private room,35,5,1,2015-06-15,0.04,1,0
11459090,Lloyd / Convention Center Modern Charmer,470854,Lydia,,Sullivan's Gulch,45.53118342392331,-122.63679555169614,Entire home/apt,175,2,14,2017-07-01,1.21,1,0
19191295,NE Portland Home,134247106,Jeffrey,,Sullivan's Gulch,45.53266409498984,-122.64125559712473,Entire home/apt,55,2,5,2017-07-01,5,1,5
14505032,"New & Nearby Convention Center (2bd, 1bth)",45410272,Omar & Amanda,,Sullivan's Gulch,45.53087029937938,-122.64446324120773,Entire home/apt,115,1,100,2017-06-25,10.00,1,99
9260956,NE Getaway for the Creative Type,4547203,David,,Sullivan's Gulch,45.53199202153487,-122.63751758894831,Entire home/apt,115,2,17,2016-10-30,1.15,1,10
6106997,"LOCATION NE! ""Mt Hood"" : King bed",17261537,Ian & Sharmil,,Sullivan's Gulch,45.5344912173247,-122.64688297158196,Private room,65,1,164,2017-06-18,6.29,6,328
15358320,Bohemian Escape,78494301,Pamela,,Sullivan's Gulch,45.532048225603695,-122.64122311847831,Private room,65,2,18,2017-06-28,2.15,1,141
4918034,Private suites near it all- Room #2,3029738,Phil,,Sullivan's Gulch,45.53327975880302,-122.64786231653146,Private room,120,1,164,2017-06-14,5.55,5,336
12819993,Adorable Bedroom in NE Portland,15661721,Alison,,Sullivan's Gulch,45.532106685559235,-122.644472266018,Private room,70,1,0,,,1,0
15164727,NE BUNK-HOUSE : Single bed - BOTTOM,17261537,Ian & Sharmil,,Sullivan's Gulch,45.53415374734954,-122.6484272810357,Shared room,47,1,36,2017-06-20,4.11,6,326
15910175,NE private modern garden apartment,103214448,Bianca,,Sullivan's Gulch,45.53444632203182,-122.64524868204234,Entire home/apt,77,1,9,2017-07-03,9,1,315
4917894,Private suite near it all- Room #1,3029738,Phil,,Sullivan's Gulch,45.53208834358765,-122.64674961230965,Private room,120,1,158,2017-06-21,5.27,5,337
3678338,Portland's best kept secret...,1795731,Matt,,Sullivan's Gulch,45.53273356919601,-122.63972491079328,Entire home/apt,59,2,106,2017-07-02,2.95,1,317
4000140,"Fully equipped, Private studio apartment,",20738963,Jodi,,Sullivan's Gulch,45.53331340012331,-122.64516932856453,Entire home/apt,60,2,139,2017-06-27,4.04,1,295
7547444,Near Oregon Convention Center,1770933,Anastasia,,Sullivan's Gulch,45.532235639717626,-122.64542490867335,Private room,47,1,146,2017-07-03,6.19,2,321
5134256,Private suites near it all- Room #4,3029738,Phil,,Sullivan's Gulch,45.53327352847426,-122.64687008708758,Private room,90,1,198,2017-06-21,6.82,5,332
10907864,NE BUNK-HOUSE : Queen Bunk - BOTTOM,17261537,Ian & Sharmil,,Sullivan's Gulch,45.53417600078901,-122.64692082305606,Shared room,47,1,72,2017-06-16,4.19,6,348
