date,reviews
2015-05-12,5.311961722488038
2015-09-02,10.238520926452662
2015-11-02,5.264074074074074
2015-12-02,1.8035902851108765
2016-01-01,1.341874341874342
2016-02-03,1.6442646023926812
2016-04-05,3.387043735613285
2016-05-03,1.8891388174807198
2016-06-03,2.4748311847759363
2016-07-04,2.9258928571428573
2016-08-04,3.4623748211731042
2016-09-04,3.4759103641456583
2016-11-06,5.647137150466046
2016-12-08,2.0721974271462327
2017-01-04,1.4277471806976134
2017-02-09,2.057634526085769
2017-03-05,1.5783296943231442
2017-04-07,2.6302142051860202
2017-05-07,2.5098858256752994
2017-06-05,2.588569880823402
2017-07-06,3.399736147757256
2017-08-06,3.5619975639464068
2017-09-12,4.387866394001363
2017-10-04,1.9955287279230942
2017-11-13,2.9089104543449493
2017-12-09,1.561222293953088
2018-01-16,2.5603804797353185
2018-02-08,1.1733530405405406
2018-04-11,4.387897435897436
2018-05-13,2.4628893999581853
2018-07-10,5.400161845033381
2018-08-14,4.011845624761177
2018-09-14,3.2823084200567645
2018-10-09,2.208772903942254
2018-12-10,4.350132625994695
2019-01-13,1.9017110266159696
2019-02-06,1.2010828976848393
2019-03-08,1.7633545013074337
2019-04-10,2.4154545454545455
2019-05-13,2.3914532996754416
2019-06-07,2.019878223495702
2019-07-10,3.063765541740675
2019-09-17,7.928364849833148
2019-10-16,2.9509721048182587
2019-11-09,2.0891254435399707
