date,price
2015-03-01,100.58988764044943
2015-05-12,107.49282296650718
2015-09-02,116.86655817737999
2015-11-02,111.26241660489251
2015-12-02,108.61021126760564
2016-01-01,105.98489638215666
2016-02-03,103.3644366197183
2016-04-05,105.31918394208621
2016-05-03,107.01929880990673
2016-06-03,108.14105716041794
2016-07-04,110.5080405002978
2016-08-04,110.94816723940436
2016-09-04,110.728266965788
2016-11-06,110.54533333333333
2016-12-08,109.36382754994743
2017-01-04,108.60215336134453
2017-02-09,105.43314191960623
2017-03-05,106.1931693989071
2017-04-07,108.25550536420101
2017-05-07,109.41562064156206
2017-06-05,110.8179598480738
2017-07-06,112.64270613107823
2017-08-06,116.99609375
2017-09-12,118.75928880784134
2017-10-04,118.70608032308728
2017-11-13,115.6866563398982
2017-12-09,115.63960267760743
2018-01-16,113.6136929460581
2018-02-08,113.33276848125398
2018-04-11,113.51985188232874
2018-05-13,114.1335429769392
2018-07-10,116.09570154095701
2018-08-14,114.77590499904233
2018-09-14,114.45437298425347
2018-10-09,114.61688311688312
2018-12-10,110.98557053351054
2019-01-13,113.99311268414004
2019-02-06,113.16331516632212
2019-03-08,113.62666666666667
2019-04-10,116.15618141916606
2019-05-13,117.53191875226696
2019-06-07,119.43930115273776
2019-07-10,119.59228157941754
2019-09-17,116.92659526996876
2019-10-16,124.9638734501924
2019-11-09,124.83533882203926
